UserID,MovieID,Rating,Timestamp,Gender,Age,Occupation,Zip-code,Title,Genres,Year,genre_id,label
1,1193,5,978300760,F,1,10,48067,One Flew Over the Cuckoo's Nest (1975),Drama,1975,238,1
1,3408,4,978300275,F,1,10,48067,Erin Brockovich (2000),Drama,2000,238,1
1,2355,5,978824291,F,1,10,48067,"Bug's Life, A (1998)",Animation|Children's|Comedy,1998,145,1
1,1287,5,978302039,F,1,10,48067,Ben-Hur (1959),Action|Adventure|Drama,1959,19,1
1,2804,5,978300719,F,1,10,48067,"Christmas Story, A (1983)",Comedy|Drama,1983,185,1
1,594,4,978302268,F,1,10,48067,Snow White and the Seven Dwarfs (1937),Animation|Children's|Musical,1937,152,1
1,919,4,978301368,F,1,10,48067,"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical,1939,113,1
1,595,5,978824268,F,1,10,48067,Beauty and the Beast (1991),Animation|Children's|Musical,1991,152,1
1,938,4,978301752,F,1,10,48067,Gigi (1958),Musical,1958,280,1
1,2398,4,978302281,F,1,10,48067,Miracle on 34th Street (1947),Drama,1947,238,1
1,2918,4,978302124,F,1,10,48067,Ferris Bueller's Day Off (1986),Comedy,1986,176,1
1,1035,5,978301753,F,1,10,48067,"Sound of Music, The (1965)",Musical,1965,280,1
1,2791,4,978302188,F,1,10,48067,Airplane! (1980),Comedy,1980,176,1
1,2018,4,978301777,F,1,10,48067,Bambi (1942),Animation|Children's,1942,144,1
1,3105,5,978301713,F,1,10,48067,Awakenings (1990),Drama,1990,238,1
1,2797,4,978302039,F,1,10,48067,Big (1988),Comedy|Fantasy,1988,192,1
1,1270,5,978300055,F,1,10,48067,Back to the Future (1985),Comedy|Sci-Fi,1985,210,1
1,527,5,978824195,F,1,10,48067,Schindler's List (1993),Drama|War,1993,261,1
1,48,5,978824351,F,1,10,48067,Pocahontas (1995),Animation|Children's|Musical|Romance,1995,153,1
1,1097,4,978301953,F,1,10,48067,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi,1982,169,1
1,1721,4,978300055,F,1,10,48067,Titanic (1997),Drama|Romance,1997,251,1
1,1545,4,978824139,F,1,10,48067,Ponette (1996),Drama,1996,238,1
1,2294,4,978824291,F,1,10,48067,Antz (1998),Animation|Children's,1998,144,1
1,3186,4,978300019,F,1,10,48067,"Girl, Interrupted (1999)",Drama,1999,238,1
1,1566,4,978824330,F,1,10,48067,Hercules (1997),Adventure|Animation|Children's|Comedy|Musical,1997,99,1
1,588,4,978824268,F,1,10,48067,Aladdin (1992),Animation|Children's|Comedy|Musical,1992,146,1
1,1907,4,978824330,F,1,10,48067,Mulan (1998),Animation|Children's,1998,144,1
1,783,4,978824291,F,1,10,48067,"Hunchback of Notre Dame, The (1996)",Animation|Children's|Musical,1996,152,1
1,1836,5,978300172,F,1,10,48067,"Last Days of Disco, The (1998)",Drama,1998,238,1
1,1022,5,978300055,F,1,10,48067,Cinderella (1950),Animation|Children's|Musical,1950,152,1
1,2762,4,978302091,F,1,10,48067,"Sixth Sense, The (1999)",Thriller,1999,297,1
1,150,5,978301777,F,1,10,48067,Apollo 13 (1995),Drama,1995,238,1
1,1,5,978824268,F,1,10,48067,Toy Story (1995),Animation|Children's|Comedy,1995,145,1
1,1961,5,978301590,F,1,10,48067,Rain Man (1988),Drama,1988,238,1
1,1962,4,978301753,F,1,10,48067,Driving Miss Daisy (1989),Drama,1989,238,1
1,2692,4,978301570,F,1,10,48067,Run Lola Run (Lola rennt) (1998),Action|Crime|Romance,1998,61,1
1,260,4,978300760,F,1,10,48067,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,1977,24,1
1,1028,5,978301777,F,1,10,48067,Mary Poppins (1964),Children's|Comedy|Musical,1964,163,1
1,1029,5,978302205,F,1,10,48067,Dumbo (1941),Animation|Children's|Musical,1941,152,1
1,1207,4,978300719,F,1,10,48067,To Kill a Mockingbird (1962),Drama,1962,238,1
1,2028,5,978301619,F,1,10,48067,Saving Private Ryan (1998),Action|Drama|War,1998,73,1
1,531,4,978302149,F,1,10,48067,"Secret Garden, The (1993)",Children's|Drama,1993,167,1
1,3114,4,978302174,F,1,10,48067,Toy Story 2 (1999),Animation|Children's|Comedy,1999,145,1
1,608,4,978301398,F,1,10,48067,Fargo (1996),Crime|Drama|Thriller,1996,224,1
1,1246,4,978302091,F,1,10,48067,Dead Poets Society (1989),Drama,1989,238,1
2,1357,5,978298709,M,56,16,70072,Shine (1996),Drama|Romance,1996,251,1
2,3068,4,978299000,M,56,16,70072,"Verdict, The (1982)",Drama,1982,238,1
2,1537,4,978299620,M,56,16,70072,Shall We Dance? (Shall We Dansu?) (1996),Comedy,1996,176,1
2,2194,4,978299297,M,56,16,70072,"Untouchables, The (1987)",Action|Crime|Drama,1987,57,1
